timestamp_s,demanded_current_A,vref_V
0,0.0,0.0
1,1.6,0.016
2,3.2,0.032
3,4.8,0.048
4,6.4,0.064
5,12.918,0.12918
6,11.816,0.11816
7,13.935,0.13935
8,11.673,0.11673
9,11.212,0.11212
10,11.839,0.11839
11,11.814,0.11814
12,11.438,0.11438
13,12.64,0.1264
14,12.743,0.12743
15,13.267,0.13267
16,20.396,0.20396
17,26.374,0.26374
18,29.086,0.29086
19,26.44,0.2644
20,20.406,0.20406
21,13.96,0.1396
22,11.112,0.11112
23,13.231,0.13231
24,20.282,0.20282
25,26.813,0.26813
26,29.4,0.294
27,26.237,0.26237
28,19.844,0.19844
29,13.145,0.13145
30,14.652,0.14652
31,20.954,0.20954
32,18.426,0.18426
33,11.315,0.11315
34,9.482,0.09482
35,15.337,0.15337
36,20.262,0.20262
37,18.34,0.1834
38,11.013,0.11013
39,9.167,0.09167
40,15.225,0.15225
41,20.749,0.20749
42,18.552,0.18552
43,11.107,0.11107
44,9.614,0.09614
45,15.199,0.15199
46,20.757,0.20757
47,18.276,0.18276
48,11.115,0.11115
49,9.354,0.09354
50,14.598,0.14598
51,21.126,0.21126
52,18.061,0.18061
53,11.305,0.11305
54,9.273,0.09273
55,15.303,0.15303
56,20.577,0.20577
57,18.849,0.18849
58,11.799,0.11799
59,9.047,0.09047
60,21.717,0.21717
61,28.563,0.28563
62,15.121,0.15121
63,21.694,0.21694
64,28.193,0.28193
65,14.386,0.14386
66,21.507,0.21507
67,29.543,0.29543
68,15.74,0.1574
69,21.476,0.21476
70,29.563,0.29563
71,15.548,0.15548
72,21.971,0.21971
73,28.701,0.28701
74,14.432,0.14432
75,22.453,0.22453
76,28.353,0.28353
77,15.041,0.15041
78,22.681,0.22681
79,29.23,0.2923
80,15.107,0.15107
81,21.322,0.21322
82,28.755,0.28755
83,15.225,0.15225
84,22.078,0.22078
85,29.49,0.2949
86,14.547,0.14547
87,22.521,0.22521
88,28.942,0.28942
89,14.857,0.14857
90,9.635,0.09635
91,13.518,0.13518
92,18.314,0.18314
93,19.034,0.19034
94,16.596,0.16596
95,11.793,0.11793
96,8.832,0.08832
97,10.12,0.1012
98,14.108,0.14108
99,17.577,0.17577
100,18.425,0.18425
101,16.05,0.1605
102,11.569,0.11569
103,9.501,0.09501
104,10.313,0.10313
105,14.352,0.14352
106,17.63,0.1763
107,18.891,0.18891
108,15.728,0.15728
109,11.609,0.11609
110,8.797,0.08797
111,9.793,0.09793
112,13.806,0.13806
113,17.717,0.17717
114,18.48,0.1848
115,16.034,0.16034
116,12.226,0.12226
117,9.545,0.09545
118,9.797,0.09797
119,13.908,0.13908
120,21.198,0.21198
121,30.0,0.3
122,21.556,0.21556
123,11.767,0.11767
124,20.817,0.20817
